std_id,std_label,category,year,response_label,std_response_label,value,unit,base_n,multi_response,question_summary,section,subsection,prev_year_note,source,page_start,page_end,extraction_confidence,warning,figures,prev_value,yoy_delta,flag_jump,flag_mismatch,mismatch_verdict,mismatch_reason,sum_total,flag_sum_violation
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,대기 오염 관련,대기 오염 관련,47.8,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 응답 항목 중 명확히 확인되는 항목만 추출했다. '기타' 수치는 표의 위치상 전체 기준으로 보이나 세부 라벨과의 대응이 불명확하다.",<표 3-1> 환경문제 연상 이미지,,,,,,,,
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,지구 온난화,지구 온난화,32.3,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 응답 항목 중 명확히 확인되는 항목만 추출했다. '기타' 수치는 표의 위치상 전체 기준으로 보이나 세부 라벨과의 대응이 불명확하다.",<표 3-1> 환경문제 연상 이미지,,,,,,,,
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,쓰레기 관련,쓰레기 관련,30.1,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 응답 항목 중 명확히 확인되는 항목만 추출했다. '기타' 수치는 표의 위치상 전체 기준으로 보이나 세부 라벨과의 대응이 불명확하다.",<표 3-1> 환경문제 연상 이미지,,,,,,,,
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,"기상, 기후 문제 관련","기상, 기후 문제 관련",24.3,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 응답 항목 중 명확히 확인되는 항목만 추출했다. '기타' 수치는 표의 위치상 전체 기준으로 보이나 세부 라벨과의 대응이 불명확하다.",<표 3-1> 환경문제 연상 이미지,,,,,,,,
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,기타,기타,41.8,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 응답 항목 중 명확히 확인되는 항목만 추출했다. '기타' 수치는 표의 위치상 전체 기준으로 보이나 세부 라벨과의 대응이 불명확하다.",<표 3-1> 환경문제 연상 이미지,,,,,,,,
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,없음,없음,2.6,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 응답 항목 중 명확히 확인되는 항목만 추출했다. '기타' 수치는 표의 위치상 전체 기준으로 보이나 세부 라벨과의 대응이 불명확하다.",<표 3-1> 환경문제 연상 이미지,,,,,,,,
환경문제_관심도,환경문제 관심도,환경 인식,2023,매우 관심 있다,매우 관심 있다,24.3,%,1000,False,평소 환경문제에 얼마나 관심이 있는지 묻는 문항이다.,1. 환경 및 친환경제품에 대한 인식,2) 환경문제 관심도,‘22년 대비 ‘관심 있음’ 응답 비율이 0.2%p 상승함,2023년 인지도조사 결과보고서.pdf,23,24,medium,"원문 표의 수치가 여러 집단 값과 함께 뒤섞여 있어 일부 항목(특히 ‘전혀 관심 없다’, ‘관심 없음’)은 표기된 전체 기준 값으로 보이는 수치를 추정해 정리했다. 전체 기준으로 명시된 ‘관심 있음(1+2)=90.5%’는 반영했다.",<그림 3-1> 환경문제 관심도 / <표 3-2> 환경문제 관심도,,,,,unverifiable,직전 연도(2022) 값이 데이터에 없어 검증 불가,200.0,True
환경문제_관심도,환경문제 관심도,환경 인식,2023,다소 관심 있다,다소 관심 있다,66.2,%,1000,False,평소 환경문제에 얼마나 관심이 있는지 묻는 문항이다.,1. 환경 및 친환경제품에 대한 인식,2) 환경문제 관심도,‘22년 대비 ‘관심 있음’ 응답 비율이 0.2%p 상승함,2023년 인지도조사 결과보고서.pdf,23,24,medium,"원문 표의 수치가 여러 집단 값과 함께 뒤섞여 있어 일부 항목(특히 ‘전혀 관심 없다’, ‘관심 없음’)은 표기된 전체 기준 값으로 보이는 수치를 추정해 정리했다. 전체 기준으로 명시된 ‘관심 있음(1+2)=90.5%’는 반영했다.",<그림 3-1> 환경문제 관심도 / <표 3-2> 환경문제 관심도,,,,,unverifiable,직전 연도(2022) 값이 데이터에 없어 검증 불가,200.0,True
환경문제_관심도,환경문제 관심도,환경 인식,2023,별로 관심 없다,별로 관심 없다,8.9,%,1000,False,평소 환경문제에 얼마나 관심이 있는지 묻는 문항이다.,1. 환경 및 친환경제품에 대한 인식,2) 환경문제 관심도,‘22년 대비 ‘관심 있음’ 응답 비율이 0.2%p 상승함,2023년 인지도조사 결과보고서.pdf,23,24,medium,"원문 표의 수치가 여러 집단 값과 함께 뒤섞여 있어 일부 항목(특히 ‘전혀 관심 없다’, ‘관심 없음’)은 표기된 전체 기준 값으로 보이는 수치를 추정해 정리했다. 전체 기준으로 명시된 ‘관심 있음(1+2)=90.5%’는 반영했다.",<그림 3-1> 환경문제 관심도 / <표 3-2> 환경문제 관심도,,,,,unverifiable,직전 연도(2022) 값이 데이터에 없어 검증 불가,200.0,True
환경문제_관심도,환경문제 관심도,환경 인식,2023,전혀 관심 없다,전혀 관심 없다,0.6,%,1000,False,평소 환경문제에 얼마나 관심이 있는지 묻는 문항이다.,1. 환경 및 친환경제품에 대한 인식,2) 환경문제 관심도,‘22년 대비 ‘관심 있음’ 응답 비율이 0.2%p 상승함,2023년 인지도조사 결과보고서.pdf,23,24,medium,"원문 표의 수치가 여러 집단 값과 함께 뒤섞여 있어 일부 항목(특히 ‘전혀 관심 없다’, ‘관심 없음’)은 표기된 전체 기준 값으로 보이는 수치를 추정해 정리했다. 전체 기준으로 명시된 ‘관심 있음(1+2)=90.5%’는 반영했다.",<그림 3-1> 환경문제 관심도 / <표 3-2> 환경문제 관심도,,,,,unverifiable,직전 연도(2022) 값이 데이터에 없어 검증 불가,200.0,True
