std_id,std_label,category,year,response_label,value,unit,base_n,multi_response,question_summary,section,subsection,prev_year_note,source,page_start,page_end,extraction_confidence,warning,figures
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,대기 오염 관련,47.8,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 기준으로 명확히 확인되는 항목만 추출했다. '기타'와 '없음'은 원문에 제시된 전체 비율로 보이나, 나머지 세부 항목들은 라벨-값 대응이 불명확해 제외했다.",<표 3-1> 환경문제 연상 이미지
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,지구 온난화,32.3,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 기준으로 명확히 확인되는 항목만 추출했다. '기타'와 '없음'은 원문에 제시된 전체 비율로 보이나, 나머지 세부 항목들은 라벨-값 대응이 불명확해 제외했다.",<표 3-1> 환경문제 연상 이미지
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,쓰레기 관련,30.1,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 기준으로 명확히 확인되는 항목만 추출했다. '기타'와 '없음'은 원문에 제시된 전체 비율로 보이나, 나머지 세부 항목들은 라벨-값 대응이 불명확해 제외했다.",<표 3-1> 환경문제 연상 이미지
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,"기상, 기후 문제 관련",24.3,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 기준으로 명확히 확인되는 항목만 추출했다. '기타'와 '없음'은 원문에 제시된 전체 비율로 보이나, 나머지 세부 항목들은 라벨-값 대응이 불명확해 제외했다.",<표 3-1> 환경문제 연상 이미지
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,기타,41.8,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 기준으로 명확히 확인되는 항목만 추출했다. '기타'와 '없음'은 원문에 제시된 전체 비율로 보이나, 나머지 세부 항목들은 라벨-값 대응이 불명확해 제외했다.",<표 3-1> 환경문제 연상 이미지
환경문제_연상이미지,환경문제를 떠올릴 때 연상되는 이미지/단어,환경 인식,2023,없음,2.6,%,1000,True,환경문제를 떠올릴 때 가장 먼저 연상되는 이미지나 단어를 묻는 문항,1. 환경 및 친환경제품에 대한 인식,1) 환경문제 연상 이미지,,2023년 인지도조사 결과보고서.pdf,23,23,medium,"복수응답 문항으로 보이며, 원문 표가 일부 뒤섞여 있어 전체 기준으로 명확히 확인되는 항목만 추출했다. '기타'와 '없음'은 원문에 제시된 전체 비율로 보이나, 나머지 세부 항목들은 라벨-값 대응이 불명확해 제외했다.",<표 3-1> 환경문제 연상 이미지
환경문제_관심도,환경문제 관심도,환경 인식,2023,관심 있음(1+2),90.5,%,1000,False,평소 환경문제에 얼마나 관심이 있는지 묻는 문항이다.,1. 환경 및 친환경제품에 대한 인식,2) 환경문제 관심도,‘22년 대비 ‘관심 있음’ 응답 비율이 0.2%p 상승함,2023년 인지도조사 결과보고서.pdf,23,24,high,,<그림 3-1> 환경문제 관심도 / <표 3-2> 환경문제 관심도
환경문제_관심도,환경문제 관심도,환경 인식,2023,관심 없음(3+4),9.5,%,1000,False,평소 환경문제에 얼마나 관심이 있는지 묻는 문항이다.,1. 환경 및 친환경제품에 대한 인식,2) 환경문제 관심도,‘22년 대비 ‘관심 있음’ 응답 비율이 0.2%p 상승함,2023년 인지도조사 결과보고서.pdf,23,24,high,,<그림 3-1> 환경문제 관심도 / <표 3-2> 환경문제 관심도
환경분야_관심항목,환경 분야 관심 항목,환경 인식,2023,지구 온난화,75.6,%,1000,True,환경 분야에서 관심 있는 항목을 모두 선택하는 문항이다.,1. 환경 및 친환경제품에 대한 인식,3) 환경 분야 중 관심 항목,,2023년 인지도조사 결과보고서.pdf,24,25,high,,<그림 3-2> 환경 분야 중 관심 항목 / <표 3-3> 환경 분야 중 관심 항목(복수응답) / <표 3-4> 환경 분야 중 관심 항목(복수응답)(계속)
환경분야_관심항목,환경 분야 관심 항목,환경 인식,2023,대기오염,73.4,%,1000,True,환경 분야에서 관심 있는 항목을 모두 선택하는 문항이다.,1. 환경 및 친환경제품에 대한 인식,3) 환경 분야 중 관심 항목,,2023년 인지도조사 결과보고서.pdf,24,25,high,,<그림 3-2> 환경 분야 중 관심 항목 / <표 3-3> 환경 분야 중 관심 항목(복수응답) / <표 3-4> 환경 분야 중 관심 항목(복수응답)(계속)
